Date,TEU
2010-01-01,493136.0
2010-02-01,447869.0
2010-03-01,532599.0
2010-04-01,485357.0
2010-05-01,596628.0
2010-06-01,570209.0
2010-07-01,600693.0
2010-08-01,609298.0
2010-09-01,558098.0
2010-10-01,652070.0
2010-11-01,618046.0
2010-12-01,619130.0
2011-01-01,605488.0
2011-02-01,576134.0
2011-03-01,603566.0
2011-04-01,615027.0
2011-05-01,633411.0
2011-06-01,679481.0
2011-07-01,706757.0
2011-08-01,699778.0
2011-09-01,687095.0
2011-10-01,741798.0
2011-11-01,681811.0
2011-12-01,674664.0
2012-01-01,642217.0
2012-02-01,634295.0
2012-03-01,666062.0
2012-04-01,633005.0
2012-05-01,663654.0
2012-06-01,672652.0
2012-07-01,675631.0
2012-08-01,751432.0
2012-09-01,722643.0
2012-10-01,753718.0
2012-11-01,676777.0
2012-12-01,726692.0
2013-01-01,654786.0
2013-02-01,610852.0
2013-03-01,726625.0
2013-04-01,684907.0
2013-05-01,786416.0
2013-06-01,751680.0
2013-07-01,758869.0
2013-08-01,830377.0
2013-09-01,759436.0
2013-10-01,843059.0
2013-11-01,803932.0
2013-12-01,783800.0
2014-01-01,722525.0
2014-02-01,703649.0
2014-03-01,752546.0
2014-04-01,759315.0
2014-05-01,777415.0
2014-06-01,749391.0
2014-07-01,806712.0
2014-08-01,847898.0
2014-09-01,806825.0
2014-10-01,838947.0
2014-11-01,784610.0
2014-12-01,766158.0
2015-01-01,719896.0
2015-02-01,706853.0
2015-03-01,801833.0
2015-04-01,729533.0
2015-05-01,765172.0
2015-06-01,738161.0
2015-07-01,827623.0
2015-08-01,827271.0
2015-09-01,766202.0
2015-10-01,798765.5
2015-11-01,767389.5
2015-12-01,747625.5
2016-01-01,680368.0
2016-02-01,660867.5
2016-03-01,713228.0
2016-04-01,712679.75
2016-05-01,783396.5
2016-06-01,718493.75
2016-07-01,751126.5
2016-08-01,790565.25
2016-09-01,773960.25
2016-10-01,762272.0
2016-11-01,733846.0
2016-12-01,758427.75
2017-01-01,707315.0
2017-02-01,670240.25
2017-03-01,705424.0
2017-04-01,748432.5
2017-05-01,721921.75
2017-06-01,793223.75
2017-07-01,822889.0
2017-08-01,812520.5
2017-09-01,876915.5
2017-10-01,883929.25
2017-11-01,832425.75
2017-12-01,826381.0
2018-01-01,797094.25
2018-02-01,740839.25
2018-03-01,837039.25
2018-04-01,810590.25
2018-05-01,824611.0
2018-06-01,777351.75
2018-07-01,834806.5
2018-08-01,950199.0
2018-09-01,874887.75
2018-10-01,913388.25
2018-11-01,874272.5
2018-12-01,862332.75
2019-01-01,796289.25
2019-02-01,768359.5
2019-03-01,795157.0
2019-04-01,804760.75
2019-05-01,871114.0
2019-06-01,866379.0
2019-07-01,896753.0
2019-08-01,947573.0
2019-09-01,939832.25
2019-10-01,970685.75
2019-11-01,888491.0
2019-12-01,892082.5
2020-01-01,834476.05
2020-02-01,834564.0
2020-03-01,850732.75
2020-04-01,865282.5
2020-05-01,835506.75
2020-06-01,783987.0
2020-07-01,862437.75
2020-08-01,894015.5
2020-09-01,894225.75
2020-10-01,956725.25
2020-11-01,990585.5
2020-12-01,1019153.5
2021-01-01,927710.75
2021-02-01,923198.75
2021-03-01,1035761.75
2021-04-01,948989.75
2021-05-01,1016019.5
2021-06-01,977176.0
2021-07-01,975421.75
2021-08-01,1011898.5
2021-09-01,1003781.75
2021-10-01,1018242.5
2021-11-01,919425.75
2021-12-01,1051428.5
2022-01-01,909972.5
2022-02-01,869713.25
2022-03-01,995233.25
2022-04-01,956930.75
2022-05-01,1029655.5
2022-06-01,907054.25
2022-07-01,1020592.75
2022-08-01,1036410.0
2022-09-01,1063656.0
2022-10-01,1046018.75
2022-11-01,933497.25
2022-12-01,929579.0
2023-01-01,895046.0
2023-02-01,808961.0
2023-03-01,929901.0
2023-04-01,950114.0
2023-05-01,981886.25
2023-06-01,957962.75
2023-07-01,1008060.75
2023-08-01,1061189.25
2023-09-01,1026969.5
2023-10-01,996689.0
2023-11-01,951329.65
2023-12-01,1059157.75
2024-01-01,1050112.5
2024-02-01,1022448.75
2024-03-01,1134192.25
2024-04-01,1147312.75
2024-05-01,1104543.25
2024-06-01,1180627.25
2024-07-01,1217167.5
2024-08-01,1222454.0
2024-09-01,1218640.5
2024-10-01,1254651.25
2024-11-01,1172446.0
2024-12-01,1181565.75
